Iteration,Wall-Clock Time (ms)
0,838.86
1,754.60
2,754.06
3,753.40
4,753.44
5,752.96
6,753.44
7,753.33
8,753.42
9,753.32
10,753.28
11,753.37
12,753.51
13,752.47
14,753.38
15,753.40
16,753.37
17,753.39
18,753.38
19,753.44
20,753.54
21,753.10
22,753.52
23,753.46
24,753.40
25,753.51
26,753.27
27,753.46
28,753.48
29,753.42
30,753.68
31,753.37
32,753.45
33,753.52
34,752.71
35,753.58
36,753.57
37,753.45
38,753.57
39,753.52
40,753.61
41,753.53
42,753.16
43,753.63
44,753.59
45,753.42
46,753.66
47,753.17
48,753.61
49,753.57
